city,population
Philadelphia,1550542
Pittsburgh,303255
Allentown,124880
Reading city,94903
Erie,92957
Upper Darby,84893
Scranton,75805
Lower Merion,64157
Bensalem,62800
Abington,58451
Bethlehem city,58349
Lancaster city,57153
Lower Paxton,54807
Bristol township,53897
Millcreek township,53101
Haverford,50503
Harrisburg,50012
Middletown township,45634
York city,44867
Manheim township,44265
Wilkes-Barre city,44254
Altoona,42788
Hempfield township,41613
State College,40687
Northampton township,39872
Penn Hills,39643
Cheltenham,38460
Norristown,35769
Upper Merion,35688
Hampden,34921
Cranberry township,34516
Falls township,34351
Radnor,33732
Chester city,33595
Lower Makefield,33342
Warminster,33286
Mount Lebanon,32938
Lower Macungie,32524
Ross township,32433
Bethel Park,32398
North Huntingdon,31788
Tredyffrin,31787
Ridley,30707
York township,30485
Hazleton,30037
Easton,29538
Whitehall township,29109
McCandless,28673
Spring township,28501
Upper Macungie,28492
Monroeville,27974
Swatara township,27787
Susquehanna township,27503
Williamsport,27470
Springettsbury,27453
Upper Dublin,27205
Shaler,27116
Horsham,27086
East Hempfield,26922
Moon,26593
Plum borough,26391
Lebanon city,26378
Bethlehem township,26338
Warrington township,26175
Upper Moreland,26042
Montgomery township,26018
Lower Providence,25892
Exeter township,25585
Derry township,24944
Springfield township,24865
Upper Providence township,24863
Marple,24083
Upper Allen,24020
West Goshen,23674
Dover township,23507
Pottstown,23349
Peters township,23264
Palmer,22390
Carlisle,22341
Chambersburg,22245
Muhlenberg,22104
Manor township,22011
New Castle city,21413
South Whitehall,21403
Unity,21311
East Pennsboro,21178
Limerick,21165
Silver Spring,21086
Springfield township,20984
Buckingham township,20765
Murrysville,20745
Baldwin borough,20708
West Whiteland,20630
Penn township,20585
Upper St. Clair,20581
Coolbaugh,20556
Lower Southampton,20427
Whitpain,20421
Lower Allen,20380
Bethlehem city,19951
Whitemarsh,19909
Phoenixville,19871
Manchester township,19719
Newtown township,19701
West Chester,19658
Stroud,19591
Uwchlan,19518
Warwick township,19218
West Manchester,19207
Hatfield township,19077
Lansdale,18978
Ferguson township,18939
West Mifflin,18916
Lancaster township,18677
Greene township,18591
South Fayette,18442
Plymouth township,18424
East Goshen,18338
Penn township,18185
Concord township,18183
Doylestown township,17989
Windsor township,17975
Johnstown,17950
Towamencin,17945
Hampton,17942
East Lampeter,17698
Fairview township,17675
Upper Saucon,17639
West Lampeter,17331
Upper Gwynedd,17223
West Hempfield,17155
McKeesport,17132
Scott township,17012
Hilltown,16881
Middletown township,16876
Butler township,16817
South Middleton,16802
Upper Chichester,16780
North Strabane,16719
Aston,16619
Harborcreek,16580
Hanover borough,16573
Chestnuthill,16522
Forks township,16456
West Norriton,16235
Lower Salford,16165
Antrim,16091
North Fayette,16014
Newberry,16010
Middle Smithfield,15932
Hermitage,15923
North Whitehall,15752
Patton township,15657
Cumru,15654
Adams township,15603
Robinson township,15508
Washington township,15394
Pine township,15388
Newtown township,15271
White township,15229
Upper Southampton,15109
Cecil,15065
Franklin Park,15024
Caln,14977
East Whiteland,14943
Guilford,14854
Warwick township,14740
West Bradford,14676
Whitehall borough,14615
Greensburg,14603
Nether Providence,14461
Skippack,14457
Plumstead,14299
Indiana borough,14289
Dunmore,14186
Richland township,14176
Lower Moreland,14069
East Norriton,14017
Wilkinsburg,13813
Spring Garden,13664
Ephrata borough,13660
South Park,13652
Salisbury township,13567
New Hanover,13526
Franconia,13441
Washington city,13429
Derry township,13422
Amity township,13419
Pottsville,13355
Kingston borough,13331
Hopewell township,13308
Upper Uwchlan,13286
Coatesville,13275
Bloomsburg,13112
Butler city,13099
Dingman,13038
Sharon city,12813
Lower Pottsgrove,12723
North Middleton,12583
Elizabeth township,12514
St. Marys,12399
Meadville,12361
New Britain township,12277
Yeadon,12247
Rapho,12214
Lower Gwynedd,12209
Jefferson Hills,12178
Logan township,12171
West Deer,12113
North Lebanon,12106
Emmaus,12017
Elizabethtown,12000
Richland township,11991
New Kensington,11911
Richland township,11735
Center township,11726
Hanover township,11629
Sandy,11621
Lower Burrell,11561
Salisbury township,11513
Hamilton township,11509
Hanover township,11508
New Garden,11421
Rostraver,11420
North Union township,11412
Loyalsock,11403
Somerset township,11374
Willistown,11352
Fairview township,11270
Westtown,11257
Wyomissing,11132
Lehman township,11127
West Hanover,11120
Worcester,11104
Lansdowne,11077
Waynesboro,11067
Easttown,11051
Lower Saucon,11022
East Cocalico,10967
East Bradford,10934
College,10874
Douglass township,10848
Mount Joy township,10803
Upper Providence township,10786
Pocono,10775
Lehigh township,10739
Ephrata township,10682
Penn township,10617
Nanticoke,10615
Darby borough,10614
South Lebanon,10554
South Union,10451
Northampton borough,10404
Columbia borough,10380
Munhall,10380
West Manheim,10331
Berwick borough,10261
Hazle,10253
East Brandywine,10246
Penn Forest,10235
Milford township,10170
Marshall,10139
Mount Pleasant township,9985
Butler township,9940
Mechanicsburg,9911
Plains,9883
Bristol borough,9876
Lower Swatara,9797
Harrison township,9790
Lititz,9742
Coal,9737
Brentwood,9706
Morrisville,9705
North Versailles,9703
Neshannock,9669
Bethel township,9635
Canonsburg,9629
South Strabane,9612
Middletown borough,9608
South Abington,9595
Uniontown,9577
Sunbury,9539
North Cornwall,9433
Oil City,9374
Moore,9352
Jackson township,9279
Perkasie,9277
Conshohocken,9256
Millersville,9252
Quakertown,9247
North Codorus,9226
Dallas township,9221
Maidencreek,9196
Kennett,9179
Chartiers,9168
Darby township,9137
Warren city,9125
West Donegal,9103
East Nottingham,9073
East Stroudsburg,9042
Jackson township,9035
Aliquippa,9022
London Grove,8995
Benner,8978
O'Hara,8973
Economy,8962
North Londonderry,8953
West Caln,8951
Perkiomen,8939
Upper Leacock,8931
Collier,8929
Schuylkill township,8870
Collingdale,8833
Upper Makefield,8826
Conewago township,8821
Carbondale city,8796
South Londonderry,8795
Beaver Falls,8777
Brighton,8759
East Donegal,8695
Bushkill,8649
Solebury,8647
East Pikeland,8636
Upper Hanover,8628
Old Forge,8612
Jeannette,8591
Southampton township,8590
East Manchester,8589
Hamilton township,8492
Gettysburg,8468
West Earl,8461
Lock Haven,8457
Kennedy,8436
Slippery Rock township,8426
Lewistown,8418
Upper Nazareth,8408
North Coventry,8399
Honey Brook township,8398
Maxatawny,8344
Mount Joy borough,8340
Doylestown borough,8338
Pleasant Hills,8322
Downingtown,8320
Tobyhanna,8303
Brookhaven,8291
Swissvale,8290
Canton township,8269
Hatboro,8257
Allegheny township,8201
Southampton township,8195
Camp Hill,8163
Buffalo township,8151
Wilson,8135
Upper Milford,8108
Castle Shannon,8101
Spring township,8031
Chippewa,8030
Bellevue,8000
Conewago township,7996
Valley township,7969
Dormont,7930
Latrobe,7922
Smithfield township,7885
East Marlborough,7877
East Fallowfield township,7866
Carnegie,7847
West Brandywine,7812
Center township,7810
Grove City,7779
South Heidelberg,7775
East Vincent,7716
Palmyra borough,7702
Brecknock township,7684
Robeson,7668
Delaware township,7662
Pittston city,7638
West Cocalico,7602
Lower Windsor,7577
East Huntingdon,7575
Bradford city,7560
New Cumberland,7547
Frankstown,7486
Bedminster,7485
Archbald,7457
East Buffalo,7446
Polk township,7384
Middlesex township,7375
Lawrence township,7347
White Oak,7346
DuBois,7320
South Hanover,7281
Souderton,7276
Indiana township,7274
Summit township,7273
Ohio,7255
Derry township,7231
Ridley Park,7216
Middlesex township,7185
Glenolden,7168
East Coventry,7162
Carroll township,7160
Earl township,7148
Providence,7141
Cumberland township,7138
Lower Nazareth,7132
Kingston township,7127
Shrewsbury township,7048
New Sewickley,7030
Shenango township,7012
Clay township,6963
Tamaqua,6917
Thornbury township,6910
Tunkhannock township,6909
Huntingdon,6898
Ambridge,6875
Ellwood City borough,6865
West Vincent,6852
Ambler,6843
Shamokin city,6803
Washington township,6799
East Earl,6797
Clifton Heights,6796
Franklin township,6739
Folcroft,6735
Bern,6734
Monessen,6723
Connellsville city,6700
Blakely,6653
Lower Heidelberg,6644
Monroe township,6630
Oakmont,6626
Conemaugh township,6615
Williams township,6583
Washington township,6559
Findlay,6546
Swarthmore,6536
Allegheny township,6532
Kennett Square,6521
Milton,6497
Bullskin,6491
Red Lion,6487
Jackson township,6475
Catasauqua,6469
North East township,6439
West View,6437
Dunbar township,6415
Upper Mount Bethel,6397
Prospect Park,6374
Antis,6348
Charlestown,6326
Steelton,6308
Pequea,6266
Taylor borough,6246
Cranberry township,6242
Plainfield,6221
Upper Pottsgrove,6208
Stowe,6191
Forest Hills,6189
South Williamsport,6166
Cumberland township,6146
Wilkins,6122
Hellertown,6117
Georges,6117
Springfield township,6078
Corry,6075
Nazareth,6061
Oxford township,6024
Dickson City,6002
Salem township,5989
Moosic,5982
East Hanover township,5979
Ligonier township,5974
St. Thomas,5970
Sharon Hill,5958
Chanceford,5953
Clairton,5949
Franklin city,5935
Bellefonte,5930
