city,state,pop2024,pop2020,area
New York,NY,8478072,8804190,300.5
Los Angeles,CA,3878704,3898747,469.5
Chicago,IL,2721308,2746388,227.7
Houston,TX,2390125,2304580,640.4
Phoenix,AZ,1673164,1608139,518
Philadelphia,PA,1573916,1603797,134.4
San Antonio,TX,1526656,1434625,498.8
San Diego,CA,1404452,1386932,325.9
Dallas,TX,1326087,1304379,339.6
Jacksonville,FL,1009833,949611,747.3
Fort Worth,TX,1008106,918915,347.3
San Jose,CA,997368,1013240,178.3
Austin,TX,993588,961855,319.9
Charlotte,NC,943476,874579,308.3
Columbus,OH,933263,905748,220
Indianapolis,IN,891484,887642,361.6
San Francisco,CA,827526,873965,46.9
Seattle,WA,780995,737015,83.8
Denver,CO,729019,715522,153.1
Oklahoma City,OK,712919,681054,606.2
Nashville,TN,704963,689447,475.8
Washington,DC,702250,689545,61.1
El Paso,TX,681723,678815,258.4
Las Vegas,NV,678922,641903,141.8
Boston,MA,673458,675647,48.3
Detroit,MI,645705,639111,138.7
Louisville,KY,640796,633045,324.9
Portland,OR,635749,652503,133.5
Memphis,TN,610919,633104,297
Baltimore,MD,568271,585708,80.9
Milwaukee,WI,563531,577222,96.2
Albuquerque,NM,560326,564559,187.3
Tucson,AZ,554013,542629,241
Fresno,CA,550105,542107,115.2
Sacramento,CA,535798,524943,98.6
Atlanta,GA,520070,498715,135.3
Mesa,AZ,517151,504258,138.7
Kansas City,MO,516032,508090,314.7
Raleigh,NC,499825,467665,147.1
Colorado Springs,CO,493554,478961,195.4
Omaha,NE,489265,486051,141.6
Miami,FL,487014,442241,36
Virginia Beach,VA,454808,459470,244.7
Long Beach,CA,450901,466742,50.7
Oakland,CA,443554,440646,55.9
Minneapolis,MN,428579,429954,54
Bakersfield,CA,417468,403455,149.8
Tulsa,OK,415154,413066,197.5
Tampa,FL,414547,384959,114
Arlington,TX,403672,394266,95.9
Aurora,CO,403130,386261,160.1
Wichita,KS,400991,397532,162
Cleveland,OH,365379,372624,77.7
New Orleans,LA,362701,383997,169.5
Henderson,NV,350039,317610,106.2
Honolulu,HI,344967,350964,60.5
Anaheim,CA,344561,346824,50.3
Orlando,FL,334854,307573,110.6
Lexington,KY,329437,322570,283.6
Stockton,CA,324975,320804,62.2
Riverside,CA,323757,314998,81.2
Irvine,CA,318683,307670,65.6
Corpus Christi,TX,317317,317863,162.2
Newark,NJ,317303,311549,24.1
Santa Ana,CA,316184,310227,27.3
Cincinnati,OH,314915,309317,77.8
Pittsburgh,PA,307668,302971,55.4
Saint Paul,MN,307465,311527,52
Greensboro,NC,307381,299035,129.6
Jersey City,NJ,302824,292449,14.7
Durham,NC,301870,283506,112.8
Lincoln,NE,300619,291082,97.7
North Las Vegas,NV,294034,262527,101.3
Plano,TX,293286,285494,71.7
Anchorage,AK,289600,291247,1706.8
Gilbert,AZ,288790,267918,68.6
Madison,WI,285300,269840,79.6
Reno,NV,281714,264165,108.8
Chandler,AZ,281231,275987,65.3
St. Louis,MO,279695,301578,61.7
Chula Vista,CA,278546,275487,49.6
Buffalo,NY,276617,278349,40.4
Fort Wayne,IN,273203,263886,110.7
Lubbock,TX,272086,257141,134.6
St. Petersburg,FL,267102,258308,61.8
Toledo,OH,265638,270871,80.5
Laredo,TX,261260,255205,106.5
Port St. Lucie,FL,258575,204851,119.2
Glendale,AZ,258143,248325,61.6
Irving,TX,258060,256684,67
Winston-Salem,NC,255769,249545,132.7
Chesapeake,VA,254997,249422,338.5
Garland,TX,250431,246018,57.1
Scottsdale,AZ,246170,241361,184
Boise,ID,237963,235684,84
Hialeah,FL,235388,223109,21.6
Frisco,TX,235208,200509,68.6
Richmond,VA,233655,226610,59.9
Cape Coral,FL,233025,194016,106
Norfolk,VA,231105,238005,53.3
Spokane,WA,230609,228989,68.8
Huntsville,AL,230402,215006,218.1
Santa Clarita,CA,229159,228673,70.8
Tacoma,WA,228202,219346,49.7
Fremont,CA,228192,230504,78.3
McKinney,TX,227526,195308,67
San Bernardino,CA,224775,222101,62.1
Baton Rouge,LA,220907,227470,86.3
Modesto,CA,220592,218464,43
Fontana,CA,218455,208393,43.1
Salt Lake City,UT,217783,199723,110.3
Moreno Valley,CA,213919,208634,51.3
Des Moines,IA,213096,214133,88.2
Worcester,MA,211286,206518,37.4
Yonkers,NY,211040,211569,18
Fayetteville,NC,209496,208501,148.3
Sioux Falls,SD,209289,192517,79.1
Grand Prairie,TX,207331,196100,72.6
Rochester,NY,207282,211328,35.8
Tallahassee,FL,205089,196169,100.9
Little Rock,AR,204774,202591,120
Amarillo,TX,203729,200393,102.3
Overland Park,KS,202893,197238,75.2
Columbus,GA,201830,206922,216.5
Augusta,GA,201737,202081,302.3
Mobile,AL,201367,187041,139.5
Oxnard,CA,200616,202063,26.5
Grand Rapids,MI,200117,198917,44.8
Peoria,AZ,199924,190985,176.1
Vancouver,WA,198992,190915,48.7
Knoxville,TN,198722,190740,98.7
Birmingham,AL,196357,200733,147
Montgomery,AL,195818,200603,159.9
Providence,RI,194706,190934,18.4
Huntington Beach,CA,193151,198711,27
Brownsville,TX,191967,186738,131.5
Chattanooga,TN,191496,181099,142.4
Fort Lauderdale,FL,190641,182760,34.6
Tempe,AZ,190114,180587,39.9
Akron,OH,189664,190469,61.9
Glendale,CA,187823,196543,30.5
Clarksville,TN,185690,166722,99.4
Ontario,CA,185285,175265,50
Newport News,VA,183056,186247,69
Elk Grove,CA,182797,176124,42
Cary,NC,182659,174721,59.2
Aurora,IL,180710,180542,45
Salem,OR,180406,175535,48.8
Pembroke Pines,FL,179326,171178,32.7
Eugene,OR,178786,176654,44.2
Santa Rosa,CA,177524,178127,42.5
Rancho Cucamonga,CA,176675,174453,40.1
Shreveport,LA,176578,187593,107.8
Garden Grove,CA,172361,171949,18
Oceanside,CA,170941,174068,41.3
Fort Collins,CO,170924,169810,57.2
Springfield,MO,170596,169176,82.4
Murfreesboro,TN,168387,152769,62.9
Surprise,AZ,167564,143148,110.3
Lancaster,CA,167426,173516,94.3
Denton,TX,165998,139869,96.4
Roseville,CA,163304,147773,44.1
Palmdale,CA,162536,169450,106.1
Corona,CA,161540,157136,39.9
Salinas,CA,160783,163542,23.5
Killeen,TX,160616,153095,54.8
Paterson,NJ,160463,159732,8.4
Alexandria,VA,159102,159467,14.9
Hollywood,FL,159073,153067,27.3
Hayward,CA,158440,162954,45.8
Charleston,SC,157665,150227,114.8
Macon,GA,157056,157346,249.4
Lakewood,CO,156868,155984,43.5
Sunnyvale,CA,156792,155805,22.1
Kansas City,KS,156752,156607,124.7
